person_id,treatment_1,treatment_2,treatment_3,treatment_4
xhzam3e9ja,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
sr3tzfwrnd,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
suuuwcu66g,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
brkabbkgff,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
sf7jalwqfy,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
aepkthsbc4,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
de5ks8agkr,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
sgcdnz8hep,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
q5d6cccqw6,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
2gmwf2jey6,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
tegjldtv6p,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
upr6uewufb,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
ydvaba2djf,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
8emppwl6lb,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
8ab28ehx9t,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
zzybwudxsr,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
vxcf4juf43,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
4hn2h2wl7v,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
2n8x296zfj,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
2sjljr98s2,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
9c9yvx9ef2,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
6y3huza4ec,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
xwru6hlzum,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
uxf4vwg6ya,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
k7j73lv5tu,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
4usdhygqzu,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
cbyvlnz3p2,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
jhbrf9lufn,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
nrd5ysx22q,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
jfalzxh3s3,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
3f728mmwpc,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
a85r3uqt9r,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
p7g3smafxs,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
j3n95pplr2,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
9jeeq6jdz9,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
a7vxuvx2ky,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
7nnykrardk,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
7qz3pfp2wf,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
np6dwksjqt,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
jgpm2sae83,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
tyxsn5w7aj,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
t2ec2wrhg8,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
gusdrqmmuj,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
gtf6aqdufy,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
hwpg8pax7x,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
w3lqvr5af5,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
n3kh5g6f9l,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
9z2ltvy2e7,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
es9seuz3h3,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
34vsnj4shr,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
3qj7xbf56l,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
wgqt532egr,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
qtc2zj5weh,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
tvuzl6ty5l,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
zsvtzrhz6m,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
c929z83xdm,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
rgjgpgc8yq,REGULAR,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE
8myd9exnpq,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE,SUGAR_FREE
r2rmbf8735,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR,CAFFEINE_FREE
exuwddh6v4,CAFFEINE_FREE,SUGAR_FREE,CAFFEINE_AND_SUGAR_FREE,REGULAR
